Job Title,Salary Estimate,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Senior Data Scientist - Nationwide Opportunities,$132K-$208K (Glassdoor est.),3.9,"Amazon
3.9","Santa Monica, CA",10000+ employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD)
"Senior Data Scientist | Mobile, Social",$132K-$208K (Glassdoor est.),-1,Elever Professional,"Los Angeles, CA",1 to 50 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
Clinical Laboratory Scientist - Hematology,$132K-$208K (Glassdoor est.),3.3,"City of Hope
3.3","Duarte, CA",5001 to 10000 employees,1913,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD)
Data Analyst,$132K-$208K (Glassdoor est.),-1,Eleven Recruiting - CHURN,"Los Angeles, CA",1 to 50 employees,-1,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable
Data Analyst,$132K-$208K (Glassdoor est.),3.4,"DatamanUSA
3.4","Los Angeles, CA",51 to 200 employees,-1,Company - Private,IT Services,Information Technology,$5 to $10 million (USD)
Data Engineer,$132K-$208K (Glassdoor est.),3.7,"mPulse Mobile
3.7","Los Angeles, CA",51 to 200 employees,2014,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
"Field Applications Scientist, CA",$132K-$208K (Glassdoor est.),3.8,"GenapSys, Inc.
3.8","Los Angeles, CA",51 to 200 employees,2010,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Less than $1 million (USD)
Senior Data Analyst,$132K-$208K (Glassdoor est.),3.9,"Lucky Day
3.9","Los Angeles, CA",1 to 50 employees,2014,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
Microsoft Dynamics CRM Data Analyst,$132K-$208K (Glassdoor est.),3.7,"IBM
3.7","Los Angeles, CA",10000+ employees,1911,Company - Public,IT Services,Information Technology,$10+ billion (USD)
"Staff Software Scientist, Reproductive Health",$132K-$208K (Glassdoor est.),3.4,"Thermo Fisher Scientific
3.4","Los Angeles, CA",10000+ employees,1902,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD)
Data Engineer,$132K-$208K (Glassdoor est.),-1,Trovetechs Inc,"Universal City, CA",Unknown,-1,Company - Private,-1,-1,Unknown / Non-Applicable
Senior Data Analyst,$83K-$105K (Glassdoor est.),4,"Fox Corporation
4.0","Los Angeles, CA",5001 to 10000 employees,2019,Company - Public,TV Broadcast & Cable Networks,Media,Unknown / Non-Applicable
E-Discovery Data Engineer (ADS),$83K-$105K (Glassdoor est.),3.7,"ProSearch Strategies
3.7","Los Angeles, CA",1 to 50 employees,-1,Company - Private,Accounting,Accounting & Legal,$10 to $25 million (USD)
Computer Vision Scientist,$83K-$105K (Glassdoor est.),-1,Metropolis,"Los Angeles, CA",1 to 50 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
Machine Learning Engineer,$83K-$105K (Glassdoor est.),-1,Tangerine Search Inc,"Los Angeles, CA",-1,-1,-1,-1,-1,-1
Space Photovoltaic and Energy Technology Scientist,$83K-$105K (Glassdoor est.),3.9,"The Aerospace Corporation
3.9","El Segundo, CA",1001 to 5000 employees,1960,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense,$1 to $2 billion (USD)
"Sr. Data Scientist, Predictive Analysis - HBO Max",$83K-$105K (Glassdoor est.),3.7,"Turner Broadcasting
3.7","Burbank, CA",10000+ employees,2003,Subsidiary or Business Segment,TV Broadcast & Cable Networks,Media,$10+ billion (USD)
Data Engineer,$83K-$105K (Glassdoor est.),4,"Prosum
4.0","Los Angeles, CA",201 to 500 employees,1996,Company - Private,IT Services,Information Technology,$25 to $50 million (USD)
"Senior Data Analyst, Marketing",$83K-$105K (Glassdoor est.),4.3,"Dave, Inc.
4.3","Los Angeles, CA",1 to 50 employees,2016,Company - Private,Banks & Credit Unions,Finance,Unknown / Non-Applicable
Machine Learning Engineer,$83K-$105K (Glassdoor est.),3.2,"Adroit Worldwide Media, Inc. (AWM Smart Shelf)
3.2","Los Angeles, CA",1 to 50 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
Data Engineer,$83K-$105K (Glassdoor est.),3.9,"Analog Devices
3.9","Wilmington, CA",10000+ employees,1965,Company - Public,Electrical & Electronic Manufacturing,Manufacturing,$5 to $10 billion (USD)
"Manager, Data Science - HBO Max",$83K-$105K (Glassdoor est.),3.7,"Turner Broadcasting
3.7","Los Angeles, CA",10000+ employees,2003,Subsidiary or Business Segment,TV Broadcast & Cable Networks,Media,$10+ billion (USD)
"Clinical Laboratory Scientist, Per Diem",$83K-$105K (Glassdoor est.),4,"UCLA Health
4.0","Los Angeles, CA",5001 to 10000 employees,1919,Company - Public,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
Data Analyst,$83K-$105K (Glassdoor est.),3.6,"ICONMA
3.6","Culver City, CA",1001 to 5000 employees,2000,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD)
Sr Data Analyst,$83K-$105K (Glassdoor est.),3.1,"MyLife.com
3.1","Los Angeles, CA",1 to 50 employees,2002,Company - Private,Internet,Information Technology,$10 to $25 million (USD)
Senior Data Analyst,$83K-$105K (Glassdoor est.),4.7,"PlayQ
4.7","Santa Monica, CA",51 to 200 employees,2007,Company - Private,Video Games,Media,Unknown / Non-Applicable
Sr Data Engineer (AWS),$83K-$105K (Glassdoor est.),4,"Prosum
4.0","Los Angeles, CA",201 to 500 employees,1996,Company - Private,IT Services,Information Technology,$25 to $50 million (USD)
"Senior Scientist, Scientific Affairs",$83K-$105K (Glassdoor est.),3.3,"Beachbody
3.3","El Segundo, CA",501 to 1000 employees,1998,Company - Private,"Health, Beauty, & Fitness",Consumer Services,$500 million to $1 billion (USD)
Data Engineer,$83K-$105K (Glassdoor est.),-1,Bloomstaff,"Los Angeles, CA",-1,-1,-1,-1,-1,-1
Data Engineer,$83K-$105K (Glassdoor est.),-1,ingenium.agency,"Los Angeles, CA",-1,-1,-1,-1,-1,-1
Data Engineer,$83K-$105K (Glassdoor est.),-1,EvolvInc,"Burbank, CA",1 to 50 employees,2005,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable
Data Engineer,$83K-$105K (Glassdoor est.),4.2,"CyberCoders
4.2","Pasadena, CA",201 to 500 employees,1999,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,$100 to $500 million (USD)
Data Engineer,$83K-$105K (Glassdoor est.),4.8,"Agilisium LLC
4.8","Los Angeles, CA",201 to 500 employees,2012,Company - Private,IT Services,Information Technology,$10 to $25 million (USD)
Research Radar Scientist,$83K-$105K (Glassdoor est.),-1,UltraHealth Agency,"Los Angeles, CA",1 to 50 employees,-1,Unknown,-1,-1,Unknown / Non-Applicable
Machine Learning Engineer,$83K-$105K (Glassdoor est.),4.2,"CyberCoders
4.2","Calabasas, CA",201 to 500 employees,1999,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,$100 to $500 million (USD)
Sr. Data Scientist,$83K-$105K (Glassdoor est.),5,"WB Technology
5.0","Burbank, CA",Unknown,-1,Company - Private,-1,-1,Unknown / Non-Applicable
Principal Data Scientist,$83K-$105K (Glassdoor est.),3.2,"Activision Publishing
3.2","Santa Monica, CA",1001 to 5000 employees,1979,Subsidiary or Business Segment,Video Games,Media,$500 million to $1 billion (USD)
Senior Data Scientist,$83K-$105K (Glassdoor est.),3.3,"City of Hope
3.3","Irwindale, CA",5001 to 10000 employees,1913,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD)
Analytics Manager (Web / Social),$83K-$105K (Glassdoor est.),2.5,"TVGla
2.5","Los Angeles, CA",51 to 200 employees,-1,Company - Private,Motion Picture Production & Distribution,Media,$5 to $10 million (USD)
Data Engineer,$83K-$105K (Glassdoor est.),2,"Ledgent Technology
2.0","Los Angeles, CA",501 to 1000 employees,-1,Company - Public,-1,-1,Unknown / Non-Applicable
"Data Engineer - W2 only - Local to Los Angeles, CA only",$83K-$105K (Glassdoor est.),4.1,"BayOne Solutions
4.1","Los Angeles, CA",1001 to 5000 employees,-1,Company - Private,IT Services,Information Technology,$5 to $10 million (USD)
Data Engineer,$75K-$143K (Glassdoor est.),5,"Sense360
5.0","Culver City, CA",1 to 50 employees,2014,Unknown,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Data Analyst - (Python),$75K-$143K (Glassdoor est.),5,"LEAPROS
5.0","Long Beach, CA",1 to 50 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
Analytics Consultant,$75K-$143K (Glassdoor est.),3.6,"Epiq
3.6","Los Angeles, CA",5001 to 10000 employees,1988,Company - Private,Legal,Accounting & Legal,$1 to $2 billion (USD)
Business Intelligence Analyst,$75K-$143K (Glassdoor est.),3.1,"Systech Business Solutions
3.1","Glendale, CA",201 to 500 employees,1993,Company - Private,IT Services,Information Technology,$25 to $50 million (USD)
Data Engineer- Customer Data Platform,$75K-$143K (Glassdoor est.),3.7,"Turner Broadcasting
3.7","Burbank, CA",10000+ employees,2003,Subsidiary or Business Segment,TV Broadcast & Cable Networks,Media,$10+ billion (USD)
Data Engineer - HBO Max,$75K-$143K (Glassdoor est.),3.7,"Turner Broadcasting
3.7","Burbank, CA",10000+ employees,2003,Subsidiary or Business Segment,TV Broadcast & Cable Networks,Media,$10+ billion (USD)
Sr. Data Analyst,$75K-$143K (Glassdoor est.),4,"Unilever
4.0","Marina del Rey, CA",10000+ employees,1872,Company - Public,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD)
"Quantum Research Scientist, Test and Measurement",$75K-$143K (Glassdoor est.),3.9,"Amazon
3.9","Glendale, CA",10000+ employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD)
Research Data Analyst,$75K-$143K (Glassdoor est.),-1,"Recargo, Inc., makers of PlugShare","El Segundo, CA",-1,-1,-1,-1,-1,-1
VRL - Clinical Histocompatibility Scientist Trainee,$75K-$143K (Glassdoor est.),-1,EUROFINS SCIENT.,"Los Angeles, CA",-1,-1,-1,-1,-1,-1
"Data Consultant, Direct Marketing Campaign Automation",$75K-$143K (Glassdoor est.),4,"Kaiser Permanente
4.0","Burbank, CA",10000+ employees,1945,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$10+ billion (USD)
Sr. Data Analyst,$75K-$143K (Glassdoor est.),3.1,"Molina Healthcare
3.1","Long Beach, CA",10000+ employees,1980,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD)
Billingual Chinese - Data Analyst,$75K-$143K (Glassdoor est.),3.7,"Tripalink
3.7","Los Angeles, CA",1 to 50 employees,2016,Company - Public,Real Estate,Real Estate,Unknown / Non-Applicable
Machine Learning Engineer,$75K-$143K (Glassdoor est.),-1,Pro Lancer,"Los Angeles, CA",-1,-1,-1,-1,-1,-1
Lead Data Scientist,$75K-$143K (Glassdoor est.),3.6,"Humana
3.6","Torrance, CA",10000+ employees,1961,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD)
Data Analyst,$34K-$72K (Glassdoor est.),2.8,"SAG-AFTRA Health Plan and SAG-Producers Pension Plan
2.8","Burbank, CA",Unknown,-1,Company - Private,-1,-1,Unknown / Non-Applicable
"Director, Data Science - HBO Max",$34K-$72K (Glassdoor est.),3.7,"Turner Broadcasting
3.7","Burbank, CA",10000+ employees,2003,Subsidiary or Business Segment,TV Broadcast & Cable Networks,Media,$10+ billion (USD)
Project Scientist,$34K-$72K (Glassdoor est.),3.9,"Cedars-Sinai
3.9","Los Angeles, CA",10000+ employees,1902,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD)
Field Application Scientist,$34K-$72K (Glassdoor est.),4.7,"BioDiscovery Inc
4.7","El Segundo, CA",1 to 50 employees,1997,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable
VRL - Clinical Histocompatibility Scientist Trainee,$34K-$72K (Glassdoor est.),3.4,"Eurofins Scientific
3.4","Los Angeles, CA",10000+ employees,1987,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$2 to $5 billion (USD)
Data Analyst,$34K-$72K (Glassdoor est.),3,"Arize Corporation
3.0","Anaheim, CA",201 to 500 employees,-1,Company - Private,Publishing,Media,$50 to $100 million (USD)
Data Engineer - IG Tech,$34K-$72K (Glassdoor est.),3.9,"Capital Group
3.9","Los Angeles, CA",5001 to 10000 employees,1931,Company - Private,Investment Banking & Asset Management,Finance,$1 to $2 billion (USD)
Data Engineer,$34K-$72K (Glassdoor est.),3.7,"Turner Broadcasting
3.7","Burbank, CA",10000+ employees,2003,Subsidiary or Business Segment,TV Broadcast & Cable Networks,Media,$10+ billion (USD)
Scientist,$34K-$72K (Glassdoor est.),2.6,"Eurofins USA Environment Testing
2.6","Monrovia, CA",201 to 500 employees,2005,Company - Private,Farm Support Services,Agriculture & Forestry,Unknown / Non-Applicable
Data Engineer,$34K-$72K (Glassdoor est.),3.9,"BlackLine
3.9","Woodland Hills, CA",501 to 1000 employees,2001,Company - Public,Computer Hardware & Software,Information Technology,$100 to $500 million (USD)
Data Engineer,$34K-$72K (Glassdoor est.),2.4,"Aspiration
2.4","Los Angeles, CA",201 to 500 employees,2013,Company - Private,Brokerage Services,Finance,$1 to $5 million (USD)
Operation Analytics Manager,$34K-$72K (Glassdoor est.),4,"Walt Disney Co.
4.0","Los Angeles, CA",10000+ employees,1923,Company - Public,Motion Picture Production & Distribution,Media,$10+ billion (USD)
Data Engineer,$34K-$72K (Glassdoor est.),2.7,"TrueCar
2.7","Santa Monica, CA",501 to 1000 employees,2005,Company - Public,Internet,Information Technology,$100 to $500 million (USD)
Principal Research Scientist,$34K-$72K (Glassdoor est.),3.2,"Grifols
3.2","Los Angeles, CA",10000+ employees,1909,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$2 to $5 billion (USD)
Data Analyst,$34K-$72K (Glassdoor est.),-1,NextDeavor Services,"Carson, CA",-1,-1,-1,-1,-1,-1
Human Factors Scientist,$34K-$72K (Glassdoor est.),3.5,"Exponent
3.5","Los Angeles, CA",1001 to 5000 employees,1967,Company - Public,Consulting,Business Services,$100 to $500 million (USD)
Business Intelligence Analyst,$34K-$72K (Glassdoor est.),3.3,"City of Hope
3.3","Irwindale, CA",5001 to 10000 employees,1913,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD)
Air Compliance Engineer/Scientist (Mid to Senior),$34K-$72K (Glassdoor est.),4.3,"Yorke Engineering
4.3","Los Angeles, CA",10000+ employees,1831,College / University,Colleges & Universities,Education,$5 to $10 billion (USD)
Research Scientist - Machine Translation,$34K-$72K (Glassdoor est.),3.6,"SDL
3.6","Los Angeles, CA",1001 to 5000 employees,1992,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD)
Business Intelligence Analyst,$37K-$75K (Glassdoor est.),3.2,"Farmers & Merchants Bank
3.2","Seal Beach, CA",501 to 1000 employees,-1,Company - Public,Investment Banking & Asset Management,Finance,$100 to $500 million (USD)
"Machine Learning Engineer, Signal Processing",$37K-$75K (Glassdoor est.),5,"NxT Level
5.0","Torrance, CA",1 to 50 employees,2017,Company - Private,IT Services,Information Technology,$1 to $5 million (USD)
Survey Data Analyst,$37K-$75K (Glassdoor est.),4.9,"Cypress HCM
4.9","Los Angeles, CA",51 to 200 employees,2005,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable
Data Analyst / Developer,$37K-$75K (Glassdoor est.),-1,Kforce Technology Staffing,"Los Angeles, CA",-1,-1,-1,-1,-1,-1
"Scientist, Bioanalytics, Gene Therapy",$37K-$75K (Glassdoor est.),3.7,"CSL Behring
3.7","Pasadena, CA",5001 to 10000 employees,2004,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$2 to $5 billion (USD)
BI Data Analyst - Predictive Analytics,$37K-$75K (Glassdoor est.),3.5,"Internet Brands, Inc.
3.5","Los Angeles, CA",1001 to 5000 employees,1998,Company - Private,Internet,Information Technology,$1 to $2 billion (USD)
"R&D Scientist, Cellular Manufacturing",$37K-$75K (Glassdoor est.),3.7,"CSL Behring
3.7","Pasadena, CA",5001 to 10000 employees,2004,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$2 to $5 billion (USD)
Data Analyst (Asset Management / eDiscovery),$37K-$75K (Glassdoor est.),3.8,"Odesus
3.8","Burbank, CA",51 to 200 employees,2001,Company - Private,Consulting,Business Services,$5 to $10 million (USD)
Environmental Scientist / Monitoring Lead,$37K-$75K (Glassdoor est.),3.7,"Tetra Tech, Inc.
3.7","Los Angeles, CA",10000+ employees,1966,Company - Public,Architectural & Engineering Services,Business Services,$2 to $5 billion (USD)
Scientist I,$37K-$75K (Glassdoor est.),2.6,"Eurofins USA Environment Testing
2.6","Monrovia, CA",201 to 500 employees,2005,Company - Private,Farm Support Services,Agriculture & Forestry,Unknown / Non-Applicable
Operation Analytics Manager,$37K-$75K (Glassdoor est.),2.8,"21st Century Fox
2.8","Los Angeles, CA",1001 to 5000 employees,1993,Subsidiary or Business Segment,TV Broadcast & Cable Networks,Media,Unknown / Non-Applicable
Planetary Data Engineer,$37K-$75K (Glassdoor est.),4.3,"Nasa Jet Propulsion Laboratory
4.3","Pasadena, CA",5001 to 10000 employees,1936,Nonprofit Organization,Federal Agencies,Government,Unknown / Non-Applicable
"Data Analyst - Health, Senior",$37K-$75K (Glassdoor est.),4.1,"Blue Shield of California
4.1","Woodland Hills, CA",5001 to 10000 employees,1939,Nonprofit Organization,Insurance Carriers,Insurance,$10+ billion (USD)
VP of Data Science & Analytics,$37K-$75K (Glassdoor est.),3.6,"Snap
3.6","Los Angeles, CA",1001 to 5000 employees,2011,Company - Public,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable
"Principle Scientist, Immunology",$37K-$75K (Glassdoor est.),-1,"Myst Therapeutics, Inc.","Los Angeles, CA",-1,-1,-1,-1,-1,-1
Product Data Analyst,$37K-$75K (Glassdoor est.),3.2,"Stamps.com
3.2","El Segundo, CA",1001 to 5000 employees,1996,Company - Public,Computer Hardware & Software,Information Technology,$100 to $500 million (USD)
"Senior Research Scientist I, Data Analytics",$37K-$75K (Glassdoor est.),3.4,"Kite Pharma
3.4","Santa Monica, CA",1001 to 5000 employees,2008,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10 to $25 million (USD)
Data Engineer,$37K-$75K (Glassdoor est.),3.7,"NortonLifeLock
3.7","Culver City, CA",1001 to 5000 employees,2019,Company - Public,Internet,Information Technology,$2 to $5 billion (USD)
Physical Scientist,$37K-$75K (Glassdoor est.),4.2,"U.S. Air Force
4.2","Los Angeles, CA",10000+ employees,1947,Government,Federal Agencies,Government,$10+ billion (USD)
Data Analyst (Ryan White),$37K-$75K (Glassdoor est.),4.7,"AIDS Healthcare Foundation
4.7","Los Angeles, CA",1001 to 5000 employees,1987,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$1 to $2 billion (USD)
Data Modeler,$37K-$75K (Glassdoor est.),-1,Cloud Data Systems Inc,"Monterey Park, CA",1 to 50 employees,-1,Unknown,-1,-1,Unknown / Non-Applicable
Business Intelligence Analyst Tableau From Scratch & Performance Bonuses,$113K-$184K (Glassdoor est.),2.8,"Camden Kelly Corporation
2.8","Los Angeles, CA",1 to 50 employees,2013,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable
"Senior Data Scientist, Live Ops Analytics",$113K-$184K (Glassdoor est.),3.6,"Activision Blizzard
3.6","Woodland Hills, CA",10000+ employees,1979,Company - Public,Video Games,Media,$5 to $10 billion (USD)
Associate Scientist I - Analytical Ops,$113K-$184K (Glassdoor est.),3.1,"Integrated Resources, Inc
3.1","Santa Monica, CA",201 to 500 employees,1996,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD)
Data Analyst / Developer,$113K-$184K (Glassdoor est.),4.1,"Kforce
4.1","Los Angeles, CA",10000+ employees,1966,Company - Public,Staffing & Outsourcing,Business Services,$1 to $2 billion (USD)
Analytics Manager,$113K-$184K (Glassdoor est.),3.8,"Oxford Road
3.8","Los Angeles, CA",1 to 50 employees,2013,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable
Machine Learning Engineer - HBO Max,$113K-$184K (Glassdoor est.),3.7,"Warner Media LLC
3.7","Los Angeles, CA",10000+ employees,2003,Subsidiary or Business Segment,TV Broadcast & Cable Networks,Media,$10+ billion (USD)
"Director, Data Science (LA, NY or SF)",$113K-$184K (Glassdoor est.),3.2,"Cadreon
3.2","Los Angeles, CA",501 to 1000 employees,2009,Subsidiary or Business Segment,Advertising & Marketing,Business Services,Unknown / Non-Applicable
Data Analyst - Personalization,$113K-$184K (Glassdoor est.),3.5,"Internet Brands, Inc.
3.5","Los Angeles, CA",1001 to 5000 employees,1998,Company - Private,Internet,Information Technology,$1 to $2 billion (USD)
Pre-Clinical Imaging Field Application Scientist,$113K-$184K (Glassdoor est.),3.2,"Perkinelmer
3.2","Los Angeles, CA",10000+ employees,1937,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$2 to $5 billion (USD)
X-Ray Tomography Scientist,$113K-$184K (Glassdoor est.),3.9,"The Aerospace Corporation
3.9","El Segundo, CA",1001 to 5000 employees,1960,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense,$1 to $2 billion (USD)
Data Analyst,$113K-$184K (Glassdoor est.),3.8,"Login Consulting Services
3.8","El Segundo, CA",51 to 200 employees,-1,Company - Private,Consulting,Business Services,$5 to $10 million (USD)
"Senior Thermal Modeling Engineer(Relocation to Phoenix, AZ)",$113K-$184K (Glassdoor est.),4.6,"Nikola Motor Company
4.6","Los Angeles, CA",201 to 500 employees,2014,Company - Public,Transportation Equipment Manufacturing,Manufacturing,Less than $1 million (USD)
Data Science Resident - Galvanize Data Science Immersive Grads Only,$113K-$184K (Glassdoor est.),-1,Galvanize Inc.,"Los Angeles, CA",51 to 200 employees,-1,Company - Private,Construction,"Construction, Repair & Maintenance",Unknown / Non-Applicable
Systems and Data Analyst,$113K-$184K (Glassdoor est.),2.9,"T.H.E. Health & Wellness Centers
2.9","Los Angeles, CA",51 to 200 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
Associate Scientist - Sensory - Jr (Daily/Weekly OT),$113K-$184K (Glassdoor est.),3.8,"Apex Systems
3.8","Torrance, CA",1001 to 5000 employees,1995,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,$2 to $5 billion (USD)
Senior Research Scientist,$113K-$184K (Glassdoor est.),2.8,"TransPerfect
2.8","Los Angeles, CA",1001 to 5000 employees,1992,Company - Private,Consulting,Business Services,$500 million to $1 billion (USD)
Data Engineer- Customer Data Platform,$113K-$184K (Glassdoor est.),5,"WB Technology
5.0","Burbank, CA",Unknown,-1,Company - Private,-1,-1,Unknown / Non-Applicable
Senior Data Analyst,$113K-$184K (Glassdoor est.),4.5,"Mobilityware
4.5","Los Angeles, CA",51 to 200 employees,1990,Company - Private,Video Games,Media,Unknown / Non-Applicable
Scientist Process Chemist,$113K-$184K (Glassdoor est.),4.1,"Provivi
4.1","Santa Monica, CA",1 to 50 employees,-1,Company - Private,-1,-1,$1 to $5 million (USD)
Senior Data Engineer - Information Security,$113K-$184K (Glassdoor est.),3.9,"Riot Games
3.9","Los Angeles, CA",1001 to 5000 employees,2006,Company - Private,Video Games,Media,Unknown / Non-Applicable
Business Intelligence Analyst,$113K-$184K (Glassdoor est.),3.4,"EMINENT, INC.
3.4","Cerritos, CA",1 to 50 employees,-1,Company - Private,IT Services,Information Technology,$1 to $5 million (USD)
Sr. Data Engineer - HBO Max,$113K-$184K (Glassdoor est.),3.7,"Turner Broadcasting
3.7","Burbank, CA",10000+ employees,2003,Subsidiary or Business Segment,TV Broadcast & Cable Networks,Media,$10+ billion (USD)
"RD Scientist, Cellular Manufacturing",$113K-$184K (Glassdoor est.),3.7,"CSL Behring
3.7","Pasadena, CA",5001 to 10000 employees,2004,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$2 to $5 billion (USD)
Clinical Lab Scientist,$113K-$184K (Glassdoor est.),3.7,"California Hospital Medical Center
3.7","Los Angeles, CA",10000+ employees,-1,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$10+ billion (USD)
Lead Data Scientist,$113K-$184K (Glassdoor est.),3.3,"City of Hope
3.3","Irwindale, CA",5001 to 10000 employees,1913,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD)
Postdoctoral Scientist - Guarnerio Lab - Cedars-Sinai Cancer,$113K-$184K (Glassdoor est.),3.9,"Cedars-Sinai
3.9","Los Angeles, CA",10000+ employees,1902,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD)
Senior Data Analyst,$113K-$184K (Glassdoor est.),4.7,"DISQO
4.7","Glendale, CA",51 to 200 employees,2014,Company - Private,Research & Development,Business Services,Unknown / Non-Applicable
"Manager, Application & Data Engineering",$113K-$184K (Glassdoor est.),3.4,"Gilead Sciences
3.4","Santa Monica, CA",10000+ employees,1987,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD)
Data Analyst-HEDIS & Star,$113K-$184K (Glassdoor est.),3.2,"SCAN Health Plan
3.2","Long Beach, CA",501 to 1000 employees,1977,Nonprofit Organization,Insurance Carriers,Insurance,$2 to $5 billion (USD)
Sr. Data Analyst,$136K-$164K (Glassdoor est.),4.3,"ConsultNet, LLC
4.3","Burbank, CA",201 to 500 employees,1996,Company - Private,Staffing & Outsourcing,Business Services,$50 to $100 million (USD)
Enterprise Data Analyst,$136K-$164K (Glassdoor est.),3.6,"City National Bank
3.6","Los Angeles, CA",1001 to 5000 employees,1954,Subsidiary or Business Segment,Banks & Credit Unions,Finance,Unknown / Non-Applicable
Call Center Analytics Manager,$136K-$164K (Glassdoor est.),2.4,"Frontier Communications
2.4","Long Beach, CA",10000+ employees,1935,Company - Public,"Cable, Internet & Telephone Providers",Telecommunications,$5 to $10 billion (USD)
Data Analyst Manager,$136K-$164K (Glassdoor est.),-1,Oakwood Search - CHURN,"Los Angeles, CA",-1,-1,-1,-1,-1,-1
Sr Data Analyst (DW),$136K-$164K (Glassdoor est.),4.2,"Aviana Global Technologies, Inc
4.2","Los Angeles, CA",1 to 50 employees,1994,Company - Private,IT Services,Information Technology,$10 to $25 million (USD)
"Manager, Data Science - Native Shopping Analytics",$136K-$164K (Glassdoor est.),4.4,"Honey
4.4","Los Angeles, CA",201 to 500 employees,2012,Subsidiary or Business Segment,Internet,Information Technology,$100 to $500 million (USD)
Senior Data Engineer,$136K-$164K (Glassdoor est.),2.9,"FabFitFun
2.9","Los Angeles, CA",201 to 500 employees,2010,Company - Private,"Health, Beauty, & Fitness",Consumer Services,Unknown / Non-Applicable
Sr Predictive Analytics Manager,$136K-$164K (Glassdoor est.),3.5,"Farmers Insurance
3.5","Los Angeles, CA",10000+ employees,1928,Subsidiary or Business Segment,Insurance Carriers,Insurance,$1 to $2 billion (USD)
Operation Analytics Manager,$136K-$164K (Glassdoor est.),3.6,"true[x]
3.6","Los Angeles, CA",51 to 200 employees,2007,Company - Public,Advertising & Marketing,Business Services,Unknown / Non-Applicable
Staff Machine Learning Engineer - HBO Max,$136K-$164K (Glassdoor est.),3.7,"Turner Broadcasting
3.7","Burbank, CA",10000+ employees,2003,Subsidiary or Business Segment,TV Broadcast & Cable Networks,Media,$10+ billion (USD)
Data Engineer,$136K-$164K (Glassdoor est.),5,"Techstyle Group LLC
5.0","El Segundo, CA",51 to 200 employees,-1,Company - Private,Industrial Manufacturing,Manufacturing,Unknown / Non-Applicable
